rank,title,artist,views
1,Love,Doja Cat,4.71M
2,Thang For You (feat. NoCap),Toosii,4.41M
3,BIPOLAR,SZA,4.37M
4,MI EX TENÍA RAZÓN,Drake,3.98M
5,Ahogándome En Alcohol,Maluma,3.97M
6,Fear Of Heights,Peso Pluma,3.87M
7,Paint The Town Red,Oliver Anthony Music,3.66M
8,"Por Mi México (feat. Dharius, C-Kan, MC Davo & Neto Peña)",Lefty Sm,3.66M
9,Y LLORO,Grupo Frontera,3.52M
10,Bahamas Promises,Drake,3.35M
11,IDGAF,Morgan Wallen,3.23M
12,Toxicity,Eslabón Armado,3.18M
13,Slime You Out (feat. SZA),Yng Lvcas,3.13M
14,Calling For You (feat. 21 Savage),Lil Durk,3M
15,GMFU (feat. 6arelyhuman & 6arelyhuman),Myke Towers,2.99M
16,RUBICON,Grupo Firme,2.96M
17,SHAQ & KOBE,Rod Wave,2.89M
18,Daylight,Drake,2.87M
19,Deli,KAROL G,2.76M
20,What Would Pluto Do,Peso Pluma,2.67M
21,I Remember Everything (feat. Kacey Musgraves),Drake,2.6M
22,Mood Malandro,Zach Bryan,2.57M
23,Try That In A Small Town,Drake,2.56M
24,Primera Cita,Young Nudy,2.51M
25,vampire,Carin Leon,2.47M
26,Low Life (feat. The Weeknd),KAROL G,2.43M
27,TULUM,Tyla,2.41M
28,Something in the Orange,Gunna,2.31M
29,All The Parties (feat. Chief Keef),Usher,2.29M
30,Need A Favor,Jessie Murph,2.28M
31,Barbie World (with Aqua),Grupo Frontera,2.23M
32,Come See Me,Rylo Rodriguez,2.18M
33,SABOR FRESA,JENNIE,2.08M
34,Por Las Noches,Drake,2.08M
35,Wild Ones,That Mexican OT,2.06M
36,Another Late Night,Drake,2.05M
37,greedy,Morgan Wallen,2.04M
38,Qué Onda Perdida,Zach Bryan,2.03M
39,3D (feat. Jack Harlow),Peso Pluma,1.98M
40,Dance The Night,Drake,1.96M
41,LAGUNAS,Peso Pluma,1.93M
42,Bongos (feat. Megan Thee Stallion),Shakira,1.9M
43,On My Mama,Drake,1.89M
44,Great Gatsby,Chino Pacas,1.87M
45,Thinkin’ Bout Me,Luke Combs,1.85M
46,AMARGURA,KAROL G,1.84M
47,All My Life (feat. J. Cole),Peso Pluma,1.84M
48,Rich Men North Of Richmond,Latto,1.81M
49,Heard Of Me (feat. YoungBoy & YoungBoy Never Broke Again),Ice Spice,1.75M
50,Ella Baila Sola,Miley Cyrus,1.74M
51,Tried Our Best,Cardi B,1.7M
52,Diamonds,Fuerza Regida,1.69M
53,Good Good,Drake,1.69M
54,Flowers,Jung Kook,1.67M
55,Put It On Da Floor Again (feat. Cardi B),Peso Pluma,1.65M
56,EL AMOR DE SU VIDA,Drake,1.64M
57,Cruel Summer,System Of A Down,1.64M
58,NUEVA VIDA,Peso Pluma,1.63M
59,get him back!,Jelly Roll,1.63M
60,SkeeYee,Drake,1.62M
61,Virginia Beach,Olivia Rodrigo,1.55M
62,Sativa (feat. Rae Sremmurd),Rick Ross,1.53M
63,Fast Car,Taylor Swift,1.5M
64,Snooze,Peso Pluma,1.5M
65,La 701,Teddy Swims,1.46M
66,Turn Yo Clic Up,Rod Wave,1.45M
67,BYE,Rihanna,1.43M
68,Turks & Caicos (feat. 21 Savage),Nicki Minaj,1.42M
69, ,wow popy,1.42M
70,Que onda,Panter Bélico,1.41M
71,Agora Hills,Rod Wave,1.38M
72,Water,Lauv,1.37M
73,Steal The Show,Junior H,1.36M
74,You & Me,Doja Cat,1.36M
75,ecstacy (slowed),Tate McRae,1.36M
76,CCC (Remix),Keyshia Cole,1.35M
77,Members Only (feat. PARTYNEXTDOOR),Drake,1.35M
78,Religiously,Young Scooter,1.35M
79,Favorite Song (feat. Khalid),Bailey Zimmerman,1.33M
80,un x100to,Rod Wave,1.33M
81,fukumean,Jhené Aiko,1.31M
82,First Person Shooter,SUICIDAL-IDOL,1.3M
83,Call Your Friends,Rod Wave,1.29M
84,Last Night,Dua Lipa,1.28M
85,Amen (feat. Teezo Touchdown),Drake,1.27M
86,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,1.26M
87,What Was I Made For?,Rod Wave,1.26M
88,LADY GAGA,Michelle Maciel,1.25M
89,Peaches & Eggplants (feat. Latto & Sexyy Red),ODECORE,1.24M
90,Boyz Don't Cry,Drake,1.24M
91,Gently (feat. Bad Bunny),Drake,1.23M
92,Checkmate,Código FN,1.22M
93,Lose Control (Live),Billie Eilish,1.21M
94,La Bebe (Remix),Victoria Monét,1.21M
95,Johnny Dang,Quavo,1.2M
96,QLONA,Future,1.19M
97,El Jefe,Drake,1.19M
98,7969 Santa,Sexyy Red,1.18M
99,8am in Charlotte,Jason Aldean,1.18M
100,LALA,Olivia Rodrigo,1.18M
